kernel,Outer,Inner,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_double,assign_int,assign_double,log_Iter,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_double,log_assign_int,log_assign_double,runtime
35,40,45,1800,2,286,73,1,0,0,106,35,71,35,0,1,37,10.813781191217037,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.000699
35,40,545,21800,2,286,73,1,0,0,106,35,71,35,0,1,37,14.41204051455165,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.000359
35,40,1045,41800,2,286,73,1,0,0,106,35,71,35,0,1,37,15.351215321855607,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.000703
35,40,1545,61800,2,286,73,1,0,0,106,35,71,35,0,1,37,15.9153192176791,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.001079
35,40,2045,81800,2,286,73,1,0,0,106,35,71,35,0,1,37,16.319813222716473,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.001406
35,40,2545,101800,2,286,73,1,0,0,106,35,71,35,0,1,37,16.63537803585042,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.00177
35,40,3045,121800,2,286,73,1,0,0,106,35,71,35,0,1,37,16.894154607681056,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.002103
35,40,3545,141800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.11349800701424,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.002474
35,40,4045,161800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.303852082204703,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.002341
35,40,4545,181800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.47199267396883,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.002962
