kernel,Outer,Inner,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_double,assign_int,assign_double,runtime1,runtime
39,43,41,1763,2,318,81,1,40312,40312,118,39,79,39,0,1,41,7100,0.0071
539,43,41,1763,2,4318,1081,1,376312,376312,1618,539,1079,539,0,1,541,3372,0.003372
1039,43,41,1763,2,8318,2081,1,712312,712312,3118,1039,2079,1039,0,1,1041,13121,0.013121
1539,43,41,1763,2,12318,3081,1,1048312,1048312,4618,1539,3079,1539,0,1,1541,6049,0.006049
2039,43,41,1763,2,16318,4081,1,1384312,1384312,6118,2039,4079,2039,0,1,2041,7693,0.007693
2539,43,41,1763,2,20318,5081,1,1720312,1720312,7618,2539,5079,2539,0,1,2541,9449,0.009449
3039,43,41,1763,2,24318,6081,1,2056312,2056312,9118,3039,6079,3039,0,1,3041,3292,0.003292
3539,43,41,1763,2,28318,7081,1,2392312,2392312,10618,3539,7079,3539,0,1,3541,12675,0.012675
4039,43,41,1763,2,32318,8081,1,2728312,2728312,12118,4039,8079,4039,0,1,4041,15744,0.015744
4539,43,41,1763,2,36318,9081,1,3064312,3064312,13618,4539,9079,4539,0,1,4541,15524,0.015524
5039,43,41,1763,2,40318,10081,1,3400312,3400312,15118,5039,10079,5039,0,1,5041,17154,0.017154
5539,43,41,1763,2,44318,11081,1,3736312,3736312,16618,5539,11079,5539,0,1,5541,18385,0.018385
6039,43,41,1763,2,48318,12081,1,4072312,4072312,18118,6039,12079,6039,0,1,6041,2044,0.002044
6539,43,41,1763,2,52318,13081,1,4408312,4408312,19618,6539,13079,6539,0,1,6541,19479,0.019479
7039,43,41,1763,2,56318,14081,1,4744312,4744312,21118,7039,14079,7039,0,1,7041,22622,0.022622
35,40,45,1800,2,286,73,1,38200,38200,106,35,71,35,0,1,37,2220,0.00222
535,40,45,1800,2,4286,1073,1,378200,378200,1606,535,1071,535,0,1,537,3413,0.003413
1035,40,45,1800,2,8286,2073,1,718200,718200,3106,1035,2071,1035,0,1,1037,4786,0.004786
1535,40,45,1800,2,12286,3073,1,1058200,1058200,4606,1535,3071,1535,0,1,1537,5842,0.005842
2035,40,45,1800,2,16286,4073,1,1398200,1398200,6106,2035,4071,2035,0,1,2037,7501,0.007501
2535,40,45,1800,2,20286,5073,1,1738200,1738200,7606,2535,5071,2535,0,1,2537,8817,0.008817
3035,40,45,1800,2,24286,6073,1,2078200,2078200,9106,3035,6071,3035,0,1,3037,881,0.000881
3535,40,45,1800,2,28286,7073,1,2418200,2418200,10606,3535,7071,3535,0,1,3537,12571,0.012571
4035,40,45,1800,2,32286,8073,1,2758200,2758200,12106,4035,8071,4035,0,1,4037,14577,0.014577
4535,40,45,1800,2,36286,9073,1,3098200,3098200,13606,4535,9071,4535,0,1,4537,14945,0.014945
5035,40,45,1800,2,40286,10073,1,3438200,3438200,15106,5035,10071,5035,0,1,5037,16917,0.016917
5535,40,45,1800,2,44286,11073,1,3778200,3778200,16606,5535,11071,5535,0,1,5537,17825,0.017825
6035,40,45,1800,2,48286,12073,1,4118200,4118200,18106,6035,12071,6035,0,1,6037,19951,0.019951
6535,40,45,1800,2,52286,13073,1,4458200,4458200,19606,6535,13071,6535,0,1,6537,20754,0.020754
7035,40,45,1800,2,56286,14073,1,4798200,4798200,21106,7035,14071,7035,0,1,7037,22250,0.02225
40,50,40,2000,2,326,83,1,44800,44800,121,40,81,40,0,1,42,8249,0.008249
440,50,40,2000,2,3526,883,1,332800,332800,1321,440,881,440,0,1,442,3530,0.00353
840,50,40,2000,2,6726,1683,1,620800,620800,2521,840,1681,840,0,1,842,3531,0.003531
1240,50,40,2000,2,9926,2483,1,908800,908800,3721,1240,2481,1240,0,1,1242,13852,0.013852
1640,50,40,2000,2,13126,3283,1,1196800,1196800,4921,1640,3281,1640,0,1,1642,204,0.000204
2040,50,40,2000,2,16326,4083,1,1484800,1484800,6121,2040,4081,2040,0,1,2042,8591,0.008591
2440,50,40,2000,2,19526,4883,1,1772800,1772800,7321,2440,4881,2440,0,1,2442,8785,0.008785
2840,50,40,2000,2,22726,5683,1,2060800,2060800,8521,2840,5681,2840,0,1,2842,9822,0.009822
3240,50,40,2000,2,25926,6483,1,2348800,2348800,9721,3240,6481,3240,0,1,3242,11534,0.011534
3640,50,40,2000,2,29126,7283,1,2636800,2636800,10921,3640,7281,3640,0,1,3642,12738,0.012738
4040,50,40,2000,2,32326,8083,1,2924800,2924800,12121,4040,8081,4040,0,1,4042,13810,0.01381
4440,50,40,2000,2,35526,8883,1,3212800,3212800,13321,4440,8881,4440,0,1,4442,15532,0.015532
4840,50,40,2000,2,38726,9683,1,3500800,3500800,14521,4840,9681,4840,0,1,4842,14987,0.014987
5240,50,40,2000,2,41926,10483,1,3788800,3788800,15721,5240,10481,5240,0,1,5242,17528,0.017528
5640,50,40,2000,2,45126,11283,1,4076800,4076800,16921,5640,11281,5640,0,1,5642,18550,0.01855
6040,50,40,2000,2,48326,12083,1,4364800,4364800,18121,6040,12081,6040,0,1,6042,20129,0.020129
6440,50,40,2000,2,51526,12883,1,4652800,4652800,19321,6440,12881,6440,0,1,6442,20774,0.020774
6840,50,40,2000,2,54726,13683,1,4940800,4940800,20521,6840,13681,6840,0,1,6842,23055,0.023055
44,53,55,2915,2,358,91,1,61336,61336,133,44,89,44,0,1,46,5217,0.005217
544,53,55,2915,2,4358,1091,1,493336,493336,1633,544,1089,544,0,1,546,4135,0.004135
1044,53,55,2915,2,8358,2091,1,925336,925336,3133,1044,2089,1044,0,1,1046,6156,0.006156
1544,53,55,2915,2,12358,3091,1,1357336,1357336,4633,1544,3089,1544,0,1,1546,7238,0.007238
2044,53,55,2915,2,16358,4091,1,1789336,1789336,6133,2044,4089,2044,0,1,2046,7624,0.007624
2544,53,55,2915,2,20358,5091,1,2221336,2221336,7633,2544,5089,2544,0,1,2546,25450,0.02545
3044,53,55,2915,2,24358,6091,1,2653336,2653336,9133,3044,6089,3044,0,1,3046,11617,0.011617
3544,53,55,2915,2,28358,7091,1,3085336,3085336,10633,3544,7089,3544,0,1,3546,12532,0.012532
4044,53,55,2915,2,32358,8091,1,3517336,3517336,12133,4044,8089,4044,0,1,4046,14045,0.014045
4544,53,55,2915,2,36358,9091,1,3949336,3949336,13633,4544,9089,4544,0,1,4546,15505,0.015505
5044,53,55,2915,2,40358,10091,1,4381336,4381336,15133,5044,10089,5044,0,1,5046,16999,0.016999
5544,53,55,2915,2,44358,11091,1,4813336,4813336,16633,5544,11089,5544,0,1,5546,18494,0.018494
6044,53,55,2915,2,48358,12091,1,5245336,5245336,18133,6044,12089,6044,0,1,6046,19956,0.019956
6544,53,55,2915,2,52358,13091,1,5677336,5677336,19633,6544,13089,6544,0,1,6546,21930,0.02193
7044,53,55,2915,2,56358,14091,1,6109336,6109336,21133,7044,14089,7044,0,1,7046,22962,0.022962
55,55,65,3575,2,446,113,1,81400,81400,166,55,111,55,0,1,57,6852,0.006852
455,55,65,3575,2,3646,913,1,465400,465400,1366,455,911,455,0,1,457,3554,0.003554
855,55,65,3575,2,6846,1713,1,849400,849400,2566,855,1711,855,0,1,857,3962,0.003962
1255,55,65,3575,2,10046,2513,1,1233400,1233400,3766,1255,2511,1255,0,1,1257,4366,0.004366
1655,55,65,3575,2,13246,3313,1,1617400,1617400,4966,1655,3311,1655,0,1,1657,6983,0.006983
2055,55,65,3575,2,16446,4113,1,2001400,2001400,6166,2055,4111,2055,0,1,2057,8545,0.008545
2455,55,65,3575,2,19646,4913,1,2385400,2385400,7366,2455,4911,2455,0,1,2457,669,0.000669
2855,55,65,3575,2,22846,5713,1,2769400,2769400,8566,2855,5711,2855,0,1,2857,11254,0.011254
3255,55,65,3575,2,26046,6513,1,3153400,3153400,9766,3255,6511,3255,0,1,3257,12706,0.012706
3655,55,65,3575,2,29246,7313,1,3537400,3537400,10966,3655,7311,3655,0,1,3657,14833,0.014833
4055,55,65,3575,2,32446,8113,1,3921400,3921400,12166,4055,8111,4055,0,1,4057,13831,0.013831
4455,55,65,3575,2,35646,8913,1,4305400,4305400,13366,4455,8911,4455,0,1,4457,16680,0.01668
4855,55,65,3575,2,38846,9713,1,4689400,4689400,14566,4855,9711,4855,0,1,4857,18172,0.018172
5255,55,65,3575,2,42046,10513,1,5073400,5073400,15766,5255,10511,5255,0,1,5257,19265,0.019265
5655,55,65,3575,2,45246,11313,1,5457400,5457400,16966,5655,11311,5655,0,1,5657,21180,0.02118
6055,55,65,3575,2,48446,12113,1,5841400,5841400,18166,6055,12111,6055,0,1,6057,25399,0.025399
6455,55,65,3575,2,51646,12913,1,6225400,6225400,19366,6455,12911,6455,0,1,6457,24113,0.024113
6855,55,65,3575,2,54846,13713,1,6609400,6609400,20566,6855,13711,6855,0,1,6857,25075,0.025075
40,300,40,12000,2,326,83,1,204800,204800,121,40,81,40,0,1,42,1100,0.0011
440,300,40,12000,2,3526,883,1,1292800,1292800,1321,440,881,440,0,1,442,3446,0.003446
840,300,40,12000,2,6726,1683,1,2380800,2380800,2521,840,1681,840,0,1,842,5459,0.005459
1240,300,40,12000,2,9926,2483,1,3468800,3468800,3721,1240,2481,1240,0,1,1242,7126,0.007126
1640,300,40,12000,2,13126,3283,1,4556800,4556800,4921,1640,3281,1640,0,1,1642,9010,0.00901
2040,300,40,12000,2,16326,4083,1,5644800,5644800,6121,2040,4081,2040,0,1,2042,10719,0.010719
2440,300,40,12000,2,19526,4883,1,6732800,6732800,7321,2440,4881,2440,0,1,2442,12588,0.012588
2840,300,40,12000,2,22726,5683,1,7820800,7820800,8521,2840,5681,2840,0,1,2842,14692,0.014692
3240,300,40,12000,2,25926,6483,1,8908800,8908800,9721,3240,6481,3240,0,1,3242,17040,0.01704
3640,300,40,12000,2,29126,7283,1,9996800,9996800,10921,3640,7281,3640,0,1,3642,20933,0.020933
4040,300,40,12000,2,32326,8083,1,11084800,11084800,12121,4040,8081,4040,0,1,4042,21036,0.021036
4440,300,40,12000,2,35526,8883,1,12172800,12172800,13321,4440,8881,4440,0,1,4442,25659,0.025659
4840,300,40,12000,2,38726,9683,1,13260800,13260800,14521,4840,9681,4840,0,1,4842,24063,0.024063
5240,300,40,12000,2,41926,10483,1,14348800,14348800,15721,5240,10481,5240,0,1,5242,7287,0.007287
5640,300,40,12000,2,45126,11283,1,15436800,15436800,16921,5640,11281,5640,0,1,5642,28143,0.028143
6040,300,40,12000,2,48326,12083,1,16524800,16524800,18121,6040,12081,6040,0,1,6042,30619,0.030619
6440,300,40,12000,2,51526,12883,1,17612800,17612800,19321,6440,12881,6440,0,1,6442,32116,0.032116
6840,300,40,12000,2,54726,13683,1,18700800,18700800,20521,6840,13681,6840,0,1,6842,35826,0.035826
40,50,340,17000,2,326,83,1,260800,260800,121,40,81,40,0,1,42,3791,0.003791
440,50,340,17000,2,3526,883,1,1508800,1508800,1321,440,881,440,0,1,442,5182,0.005182
840,50,340,17000,2,6726,1683,1,2756800,2756800,2521,840,1681,840,0,1,842,14508,0.014508
1240,50,340,17000,2,9926,2483,1,4004800,4004800,3721,1240,2481,1240,0,1,1242,7543,0.007543
1640,50,340,17000,2,13126,3283,1,5252800,5252800,4921,1640,3281,1640,0,1,1642,2344,0.002344
2040,50,340,17000,2,16326,4083,1,6500800,6500800,6121,2040,4081,2040,0,1,2042,12068,0.012068
2440,50,340,17000,2,19526,4883,1,7748800,7748800,7321,2440,4881,2440,0,1,2442,14419,0.014419
2840,50,340,17000,2,22726,5683,1,8996800,8996800,8521,2840,5681,2840,0,1,2842,16631,0.016631
3240,50,340,17000,2,25926,6483,1,10244800,10244800,9721,3240,6481,3240,0,1,3242,18487,0.018487
3640,50,340,17000,2,29126,7283,1,11492800,11492800,10921,3640,7281,3640,0,1,3642,22286,0.022286
4040,50,340,17000,2,32326,8083,1,12740800,12740800,12121,4040,8081,4040,0,1,4042,22373,0.022373
4440,50,340,17000,2,35526,8883,1,13988800,13988800,13321,4440,8881,4440,0,1,4442,25495,0.025495
4840,50,340,17000,2,38726,9683,1,15236800,15236800,14521,4840,9681,4840,0,1,4842,26887,0.026887
5240,50,340,17000,2,41926,10483,1,16484800,16484800,15721,5240,10481,5240,0,1,5242,28899,0.028899
5640,50,340,17000,2,45126,11283,1,17732800,17732800,16921,5640,11281,5640,0,1,5642,30974,0.030974
6040,50,340,17000,2,48326,12083,1,18980800,18980800,18121,6040,12081,6040,0,1,6042,2481,0.002481
6440,50,340,17000,2,51526,12883,1,20228800,20228800,19321,6440,12881,6440,0,1,6442,34857,0.034857
6840,50,340,17000,2,54726,13683,1,21476800,21476800,20521,6840,13681,6840,0,1,6842,37304,0.037304
55,305,65,19825,2,446,113,1,321400,321400,166,55,111,55,0,1,57,1413,0.001413
455,305,65,19825,2,3646,913,1,1505400,1505400,1366,455,911,455,0,1,457,3995,0.003995
855,305,65,19825,2,6846,1713,1,2689400,2689400,2566,855,1711,855,0,1,857,5971,0.005971
1255,305,65,19825,2,10046,2513,1,3873400,3873400,3766,1255,2511,1255,0,1,1257,8098,0.008098
1655,305,65,19825,2,13246,3313,1,5057400,5057400,4966,1655,3311,1655,0,1,1657,10557,0.010557
2055,305,65,19825,2,16446,4113,1,6241400,6241400,6166,2055,4111,2055,0,1,2057,12650,0.01265
2455,305,65,19825,2,19646,4913,1,7425400,7425400,7366,2455,4911,2455,0,1,2457,14888,0.014888
2855,305,65,19825,2,22846,5713,1,8609400,8609400,8566,2855,5711,2855,0,1,2857,18842,0.018842
3255,305,65,19825,2,26046,6513,1,9793400,9793400,9766,3255,6511,3255,0,1,3257,19101,0.019101
3655,305,65,19825,2,29246,7313,1,10977400,10977400,10966,3655,7311,3655,0,1,3657,24195,0.024195
4055,305,65,19825,2,32446,8113,1,12161400,12161400,12166,4055,8111,4055,0,1,4057,23401,0.023401
4455,305,65,19825,2,35646,8913,1,13345400,13345400,13366,4455,8911,4455,0,1,4457,25467,0.025467
4855,305,65,19825,2,38846,9713,1,14529400,14529400,14566,4855,9711,4855,0,1,4857,27725,0.027725
5255,305,65,19825,2,42046,10513,1,15713400,15713400,15766,5255,10511,5255,0,1,5257,30142,0.030142
5655,305,65,19825,2,45246,11313,1,16897400,16897400,16966,5655,11311,5655,0,1,5657,31582,0.031582
6055,305,65,19825,2,48446,12113,1,18081400,18081400,18166,6055,12111,6055,0,1,6057,33863,0.033863
6455,305,65,19825,2,51646,12913,1,19265400,19265400,19366,6455,12911,6455,0,1,6457,36192,0.036192
6855,305,65,19825,2,54846,13713,1,20449400,20449400,20566,6855,13711,6855,0,1,6857,38223,0.038223
55,55,365,20075,2,446,113,1,345400,345400,166,55,111,55,0,1,57,1130,0.00113
455,55,365,20075,2,3646,913,1,1689400,1689400,1366,455,911,455,0,1,457,5411,0.005411
855,55,365,20075,2,6846,1713,1,3033400,3033400,2566,855,1711,855,0,1,857,257,0.000257
1255,55,365,20075,2,10046,2513,1,4377400,4377400,3766,1255,2511,1255,0,1,1257,8339,0.008339
1655,55,365,20075,2,13246,3313,1,5721400,5721400,4966,1655,3311,1655,0,1,1657,10283,0.010283
2055,55,365,20075,2,16446,4113,1,7065400,7065400,6166,2055,4111,2055,0,1,2057,15426,0.015426
2455,55,365,20075,2,19646,4913,1,8409400,8409400,7366,2455,4911,2455,0,1,2457,18192,0.018192
2855,55,365,20075,2,22846,5713,1,9753400,9753400,8566,2855,5711,2855,0,1,2857,17092,0.017092
3255,55,365,20075,2,26046,6513,1,11097400,11097400,9766,3255,6511,3255,0,1,3257,21032,0.021032
3655,55,365,20075,2,29246,7313,1,12441400,12441400,10966,3655,7311,3655,0,1,3657,22561,0.022561
4055,55,365,20075,2,32446,8113,1,13785400,13785400,12166,4055,8111,4055,0,1,4057,23194,0.023194
4455,55,365,20075,2,35646,8913,1,15129400,15129400,13366,4455,8911,4455,0,1,4457,15165,0.015165
4855,55,365,20075,2,38846,9713,1,16473400,16473400,14566,4855,9711,4855,0,1,4857,29012,0.029012
5255,55,365,20075,2,42046,10513,1,17817400,17817400,15766,5255,10511,5255,0,1,5257,30184,0.030184
5655,55,365,20075,2,45246,11313,1,19161400,19161400,16966,5655,11311,5655,0,1,5657,35345,0.035345
6055,55,365,20075,2,48446,12113,1,20505400,20505400,18166,6055,12111,6055,0,1,6057,29082,0.029082
6455,55,365,20075,2,51646,12913,1,21849400,21849400,19366,6455,12911,6455,0,1,6457,43476,0.043476
6855,55,365,20075,2,54846,13713,1,23193400,23193400,20566,6855,13711,6855,0,1,6857,39293,0.039293
35,40,545,21800,2,286,73,1,338200,338200,106,35,71,35,0,1,37,1730,0.00173
535,40,545,21800,2,4286,1073,1,2678200,2678200,1606,535,1071,535,0,1,537,6587,0.006587
1035,40,545,21800,2,8286,2073,1,5018200,5018200,3106,1035,2071,1035,0,1,1037,9073,0.009073
1535,40,545,21800,2,12286,3073,1,7358200,7358200,4606,1535,3071,1535,0,1,1537,10550,0.01055
2035,40,545,21800,2,16286,4073,1,9698200,9698200,6106,2035,4071,2035,0,1,2037,13461,0.013461
2535,40,545,21800,2,20286,5073,1,12038200,12038200,7606,2535,5071,2535,0,1,2537,16532,0.016532
3035,40,545,21800,2,24286,6073,1,14378200,14378200,9106,3035,6071,3035,0,1,3037,20840,0.02084
3535,40,545,21800,2,28286,7073,1,16718200,16718200,10606,3535,7071,3535,0,1,3537,22949,0.022949
4035,40,545,21800,2,32286,8073,1,19058200,19058200,12106,4035,8071,4035,0,1,4037,27215,0.027215
4535,40,545,21800,2,36286,9073,1,21398200,21398200,13606,4535,9071,4535,0,1,4537,28341,0.028341
5035,40,545,21800,2,40286,10073,1,23738200,23738200,15106,5035,10071,5035,0,1,5037,31476,0.031476
5535,40,545,21800,2,44286,11073,1,26078200,26078200,16606,5535,11071,5535,0,1,5537,34199,0.034199
6035,40,545,21800,2,48286,12073,1,28418200,28418200,18106,6035,12071,6035,0,1,6037,37450,0.03745
6535,40,545,21800,2,52286,13073,1,30758200,30758200,19606,6535,13071,6535,0,1,6537,40142,0.040142
7035,40,545,21800,2,56286,14073,1,33098200,33098200,21106,7035,14071,7035,0,1,7037,43215,0.043215
40,550,40,22000,2,326,83,1,364800,364800,121,40,81,40,0,1,42,2420,0.00242
440,550,40,22000,2,3526,883,1,2252800,2252800,1321,440,881,440,0,1,442,4135,0.004135
840,550,40,22000,2,6726,1683,1,4140800,4140800,2521,840,1681,840,0,1,842,6535,0.006535
1240,550,40,22000,2,9926,2483,1,6028800,6028800,3721,1240,2481,1240,0,1,1242,8871,0.008871
1640,550,40,22000,2,13126,3283,1,7916800,7916800,4921,1640,3281,1640,0,1,1642,11848,0.011848
2040,550,40,22000,2,16326,4083,1,9804800,9804800,6121,2040,4081,2040,0,1,2042,13526,0.013526
2440,550,40,22000,2,19526,4883,1,11692800,11692800,7321,2440,4881,2440,0,1,2442,16119,0.016119
2840,550,40,22000,2,22726,5683,1,13580800,13580800,8521,2840,5681,2840,0,1,2842,19032,0.019032
3240,550,40,22000,2,25926,6483,1,15468800,15468800,9721,3240,6481,3240,0,1,3242,21811,0.021811
3640,550,40,22000,2,29126,7283,1,17356800,17356800,10921,3640,7281,3640,0,1,3642,25656,0.025656
4040,550,40,22000,2,32326,8083,1,19244800,19244800,12121,4040,8081,4040,0,1,4042,26401,0.026401
4440,550,40,22000,2,35526,8883,1,21132800,21132800,13321,4440,8881,4440,0,1,4442,28609,0.028609
4840,550,40,22000,2,38726,9683,1,23020800,23020800,14521,4840,9681,4840,0,1,4842,30757,0.030757
5240,550,40,22000,2,41926,10483,1,24908800,24908800,15721,5240,10481,5240,0,1,5242,33569,0.033569
5640,550,40,22000,2,45126,11283,1,26796800,26796800,16921,5640,11281,5640,0,1,5642,36237,0.036237
6040,550,40,22000,2,48326,12083,1,28684800,28684800,18121,6040,12081,6040,0,1,6042,38131,0.038131
6440,550,40,22000,2,51526,12883,1,30572800,30572800,19321,6440,12881,6440,0,1,6442,40897,0.040897
6840,550,40,22000,2,54726,13683,1,32460800,32460800,20521,6840,13681,6840,0,1,6842,43601,0.043601
39,43,541,23263,2,318,81,1,368312,368312,118,39,79,39,0,1,41,4642,0.004642
539,43,541,23263,2,4318,1081,1,2704312,2704312,1618,539,1079,539,0,1,541,10891,0.010891
1039,43,541,23263,2,8318,2081,1,5040312,5040312,3118,1039,2079,1039,0,1,1041,11622,0.011622
1539,43,541,23263,2,12318,3081,1,7376312,7376312,4618,1539,3079,1539,0,1,1541,10833,0.010833
2039,43,541,23263,2,16318,4081,1,9712312,9712312,6118,2039,4079,2039,0,1,2041,14431,0.014431
2539,43,541,23263,2,20318,5081,1,12048312,12048312,7618,2539,5079,2539,0,1,2541,1267,0.001267
3039,43,541,23263,2,24318,6081,1,14384312,14384312,9118,3039,6079,3039,0,1,3041,22244,0.022244
3539,43,541,23263,2,28318,7081,1,16720312,16720312,10618,3539,7079,3539,0,1,3541,24247,0.024247
4039,43,541,23263,2,32318,8081,1,19056312,19056312,12118,4039,8079,4039,0,1,4041,2433,0.002433
4539,43,541,23263,2,36318,9081,1,21392312,21392312,13618,4539,9079,4539,0,1,4541,30328,0.030328
5039,43,541,23263,2,40318,10081,1,23728312,23728312,15118,5039,10079,5039,0,1,5041,33412,0.033412
5539,43,541,23263,2,44318,11081,1,26064312,26064312,16618,5539,11079,5539,0,1,5541,35281,0.035281
6039,43,541,23263,2,48318,12081,1,28400312,28400312,18118,6039,12079,6039,0,1,6041,39657,0.039657
6539,43,541,23263,2,52318,13081,1,30736312,30736312,19618,6539,13079,6539,0,1,6541,41378,0.041378
7039,43,541,23263,2,56318,14081,1,33072312,33072312,21118,7039,14079,7039,0,1,7041,44103,0.044103
39,593,41,24313,2,318,81,1,392312,392312,118,39,79,39,0,1,41,1411,0.001411
539,593,41,24313,2,4318,1081,1,2928312,2928312,1618,539,1079,539,0,1,541,5949,0.005949
1039,593,41,24313,2,8318,2081,1,5464312,5464312,3118,1039,2079,1039,0,1,1041,10396,0.010396
1539,593,41,24313,2,12318,3081,1,8000312,8000312,4618,1539,3079,1539,0,1,1541,11240,0.01124
2039,593,41,24313,2,16318,4081,1,10536312,10536312,6118,2039,4079,2039,0,1,2041,14131,0.014131
2539,593,41,24313,2,20318,5081,1,13072312,13072312,7618,2539,5079,2539,0,1,2541,17442,0.017442
3039,593,41,24313,2,24318,6081,1,15608312,15608312,9118,3039,6079,3039,0,1,3041,21169,0.021169
3539,593,41,24313,2,28318,7081,1,18144312,18144312,10618,3539,7079,3539,0,1,3541,23976,0.023976
4039,593,41,24313,2,32318,8081,1,20680312,20680312,12118,4039,8079,4039,0,1,4041,28837,0.028837
4539,593,41,24313,2,36318,9081,1,23216312,23216312,13618,4539,9079,4539,0,1,4541,31109,0.031109
5039,593,41,24313,2,40318,10081,1,25752312,25752312,15118,5039,10079,5039,0,1,5041,35966,0.035966
5539,593,41,24313,2,44318,11081,1,28288312,28288312,16618,5539,11079,5539,0,1,5541,38293,0.038293
6039,593,41,24313,2,48318,12081,1,30824312,30824312,18118,6039,12079,6039,0,1,6041,40093,0.040093
6539,593,41,24313,2,52318,13081,1,33360312,33360312,19618,6539,13079,6539,0,1,6541,42193,0.042193
7039,593,41,24313,2,56318,14081,1,35896312,35896312,21118,7039,14079,7039,0,1,7041,47148,0.047148
35,590,45,26550,2,286,73,1,390200,390200,106,35,71,35,0,1,37,1383,0.001383
535,590,45,26550,2,4286,1073,1,2930200,2930200,1606,535,1071,535,0,1,537,5421,0.005421
1035,590,45,26550,2,8286,2073,1,5470200,5470200,3106,1035,2071,1035,0,1,1037,8687,0.008687
1535,590,45,26550,2,12286,3073,1,8010200,8010200,4606,1535,3071,1535,0,1,1537,12452,0.012452
2035,590,45,26550,2,16286,4073,1,10550200,10550200,6106,2035,4071,2035,0,1,2037,15824,0.015824
2535,590,45,26550,2,20286,5073,1,13090200,13090200,7606,2535,5071,2535,0,1,2537,22540,0.02254
3035,590,45,26550,2,24286,6073,1,15630200,15630200,9106,3035,6071,3035,0,1,3037,22512,0.022512
3535,590,45,26550,2,28286,7073,1,18170200,18170200,10606,3535,7071,3535,0,1,3537,25747,0.025747
4035,590,45,26550,2,32286,8073,1,20710200,20710200,12106,4035,8071,4035,0,1,4037,29242,0.029242
4535,590,45,26550,2,36286,9073,1,23250200,23250200,13606,4535,9071,4535,0,1,4537,33394,0.033394
5035,590,45,26550,2,40286,10073,1,25790200,25790200,15106,5035,10071,5035,0,1,5037,36678,0.036678
5535,590,45,26550,2,44286,11073,1,28330200,28330200,16606,5535,11071,5535,0,1,5537,38391,0.038391
6035,590,45,26550,2,48286,12073,1,30870200,30870200,18106,6035,12071,6035,0,1,6037,41937,0.041937
6535,590,45,26550,2,52286,13073,1,33410200,33410200,19606,6535,13071,6535,0,1,6537,52278,0.052278
7035,590,45,26550,2,56286,14073,1,35950200,35950200,21106,7035,14071,7035,0,1,7037,48883,0.048883
44,53,555,29415,2,358,91,1,449336,449336,133,44,89,44,0,1,46,762,0.000762
544,53,555,29415,2,4358,1091,1,2881336,2881336,1633,544,1089,544,0,1,546,11658,0.011658
1044,53,555,29415,2,8358,2091,1,5313336,5313336,3133,1044,2089,1044,0,1,1046,324,0.000324
1544,53,555,29415,2,12358,3091,1,7745336,7745336,4633,1544,3089,1544,0,1,1546,14171,0.014171
2044,53,555,29415,2,16358,4091,1,10177336,10177336,6133,2044,4089,2044,0,1,2046,1841,0.001841
2544,53,555,29415,2,20358,5091,1,12609336,12609336,7633,2544,5089,2544,0,1,2546,28315,0.028315
3044,53,555,29415,2,24358,6091,1,15041336,15041336,9133,3044,6089,3044,0,1,3046,35641,0.035641
3544,53,555,29415,2,28358,7091,1,17473336,17473336,10633,3544,7089,3544,0,1,3546,18235,0.018235
4044,53,555,29415,2,32358,8091,1,19905336,19905336,12133,4044,8089,4044,0,1,4046,42292,0.042292
4544,53,555,29415,2,36358,9091,1,22337336,22337336,13633,4544,9089,4544,0,1,4546,47174,0.047174
5044,53,555,29415,2,40358,10091,1,24769336,24769336,15133,5044,10089,5044,0,1,5046,51517,0.051517
5544,53,555,29415,2,44358,11091,1,27201336,27201336,16633,5544,11089,5544,0,1,5546,57380,0.05738
6044,53,555,29415,2,48358,12091,1,29633336,29633336,18133,6044,12089,6044,0,1,6046,61666,0.061666
6544,53,555,29415,2,52358,13091,1,32065336,32065336,19633,6544,13089,6544,0,1,6546,67325,0.067325
7044,53,555,29415,2,56358,14091,1,34497336,34497336,21133,7044,14089,7044,0,1,7046,71047,0.071047
40,50,640,32000,2,326,83,1,476800,476800,121,40,81,40,0,1,42,1970,0.00197
440,50,640,32000,2,3526,883,1,2684800,2684800,1321,440,881,440,0,1,442,9055,0.009055
840,50,640,32000,2,6726,1683,1,4892800,4892800,2521,840,1681,840,0,1,842,12548,0.012548
1240,50,640,32000,2,9926,2483,1,7100800,7100800,3721,1240,2481,1240,0,1,1242,15119,0.015119
1640,50,640,32000,2,13126,3283,1,9308800,9308800,4921,1640,3281,1640,0,1,1642,19113,0.019113
2040,50,640,32000,2,16326,4083,1,11516800,11516800,6121,2040,4081,2040,0,1,2042,24171,0.024171
2440,50,640,32000,2,19526,4883,1,13724800,13724800,7321,2440,4881,2440,0,1,2442,27793,0.027793
2840,50,640,32000,2,22726,5683,1,15932800,15932800,8521,2840,5681,2840,0,1,2842,32071,0.032071
3240,50,640,32000,2,25926,6483,1,18140800,18140800,9721,3240,6481,3240,0,1,3242,36285,0.036285
3640,50,640,32000,2,29126,7283,1,20348800,20348800,10921,3640,7281,3640,0,1,3642,40297,0.040297
4040,50,640,32000,2,32326,8083,1,22556800,22556800,12121,4040,8081,4040,0,1,4042,44079,0.044079
4440,50,640,32000,2,35526,8883,1,24764800,24764800,13321,4440,8881,4440,0,1,4442,49071,0.049071
