Kernel, Architechture, Vendor, No of CPUs, Cycle(MHz), L1(KB), L2(KB), L3(KB), RAM(GB), Available Threads, Num Iterations, varDecl, refExpr, intLiteral, floatLiteral, add_int, add_float, sub_int, sub_float, mul_int, mul_float, div_int, div_float, rem_int, rem_float, shl_int, shl_float, shr_int, shr_float, assign_int, assign_float, mulAssign_int, mulAssign_float, divAssign_int, divAssign_float, remAssign_int, remAssign_float, addAssign_int, addAssign_float, subAssign_int, subAssign_float, shlAssign_int, shlAssign_float, shrAssign_int, shrAssign_float, postInc_int, postInc_float, postDec_int, postDec_float, preInc_int, preInc_float, preDec_int, preDec_float,Execution Time
kernel_1100_2100_801_330_9_113,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17761790,23102,2100,1684999,0,0,0,0,695428,0,0,0,0,0,0,0,0,1693399,695428,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,3.622
kernel_1100_2100_801_330_9_114,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,11824364,23102,2100,0,0,0,0,695428,695428,0,0,0,0,0,0,0,0,703828,695428,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,2.581
kernel_1100_2100_801_330_9_115,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,21940658,27302,2100,1684999,0,0,0,695428,695428,0,0,0,0,0,0,0,0,2390927,695428,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,3.916
kernel_1100_2100_801_330_9_116,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,7735824,23102,2100,0,0,0,0,0,695428,0,0,0,0,0,0,0,0,8400,695428,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,2.276
kernel_1100_2100_801_330_9_117,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17852118,27302,2100,1684999,0,0,0,0,695428,0,0,0,0,0,0,0,0,1695499,695428,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,3.811
kernel_1100_2100_801_330_9_118,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,11914692,27302,2100,0,0,0,0,695428,695428,0,0,0,0,0,0,0,0,705928,695428,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,2.727
kernel_1100_2100_801_330_9_119,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,22030986,31502,2100,1684999,0,0,0,695428,695428,0,0,0,0,0,0,0,0,2393027,695428,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1697600,0,0,0,0,0,0,0,4.157
kernel_1100_2100_801_330_9_120,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17761790,23102,2100,0,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,8400,2380427,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,3.066
kernel_1100_2100_801_330_9_121,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,27878084,27302,2100,1684999,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,1695499,2380427,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,4.111
kernel_1100_2100_801_330_9_122,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,21940658,27302,2100,0,1684999,0,0,695428,695428,0,0,0,0,0,0,0,0,705928,2380427,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,3.376
